estado;num_gestiona;pertenece_a_licitacion;es_licitacion;fecha_oferta;agente_comercial;oficina;tipo_servicio;grupo;cliente;objeto;origen;comentarios;;presupuesto_total;gastos_estimados;tecnico_t1;fin_licitacion;ingresos_2026;ingresos_2027;ingresos_2028;ingresos_2029;ingresos_2030
ACEPTADO;T OV-20256069;NO;;30/10/2025;JMR;NAVARRA;S. ELECTRICOS;TUV SUD IBERIA;TUV SUD IBERIA;AFS PEDIDO PORTICO OP98;CLIENTE ANTIGUO;;;470,00 €;0;;;;;;;
ACEPTADO;T OV-20256070;NO;;30/10/2025;JMR;NAVARRA;S. ELECTRICOS;TUV SUD IBERIA;TUV SUD IBERIA;AFS PANEL REUTILIZACION;CLIENTE ANTIGUO;;;470,00 €;0;;;;;;;
ACEPTADO;T OV-20256075;NO;;31/10/2025;BRL;NAVARRA;LOTO;NORDEX ELECTROLYCERS;NORDEX ELECTROLYCERS;SUMINISTRO LOTO;CLIENTE ANTIGUO;;;715,00 €;429;;;;;;;
ACEPTADO;T OV-20256081;NO;;31/10/2025;BLO;NAVARRA;SEVESO;CEPSA;GASIB;NOT + PEI + IS CEUTA;CLIENTE ANTIGUO;Ver ficha de cliente;;6.855,00 €;0;LAR;;;;;;
EN CURSO;T OV-20256091;NO;;31/10/2025;BRL;NAVARRA;ATEX;MARE;MARE;DPCEX 4 EDAR DE LA COMUNIDAD DE CANTABRIA;CLIENTE NUEVO;;;8.580,00 €;340;;;;;;;
ACEPTADO;T OV-20256122;NO;;03/11/2025;JMR;NAVARRA;APQ;CINFA;CINFA;LEGALIZACIÓN APQ 10 ARMARIO INFLAMABLES, VISITA CON OCA;CLIENTE ANTIGUO;;;230,00 €;0;JMR;;;;;;
EN CURSO;T OV-20256157;NO;;03/11/2025;JMR;NAVARRA;APQ;REPARACIONES PALAS DEL NORTE;REPARACIONES PALAS DEL NORTE;APQ 9 Y 10 EN VILLALBA DE ARMARIOS;CLIENTE ANTIGUO;;;1.830,00 €;0;LAR;;;;;;
EN CURSO;T OV-20256158;NO;;04/11/2025;CPV;MADRID;RIESGOS;IDOM;IDOM ;HAZID/HAZOP BIOMETANO MURCIA;CLIENTE NUEVO;;;9.000,00 €;270;;;;;;;
ACEPTADO;T OV-20256164;NO;;04/11/2025;BRL;NAVARRA;LOTO;CENER;CENER SANGUESA;SUMINISTRO LOTO;CLIENTE ANTIGUO;;;53,72 €;32;;;;;;;
ACEPTADO;T OV-20256217;SI;;05/11/2025;BLO;NAVARRA;IMPLANTACION;NATURGY;NEDGIA CATALUNYA;DIV CAT NOD CO LLEIDA BLO 2025;CLIENTE ANTIGUO;;;391,50 €;0;;;;;;;
ACEPTADO;T OV-20256216;SI;;05/11/2025;BLO;NAVARRA;SEVESO;NATURGY;NATUGY IBERIA;7: REV PEI GNL HULA;CLIENTE ANTIGUO;;;1.427,79 €;0;;;;;;;
ACEPTADO;T OV-20256215;SI;;05/11/2025;BLO;NAVARRA;IMPLANTACION;NATURGY;NATURGY ANDALUCIA;4: N=1 SIM AND GNL-064;CLIENTE ANTIGUO;;;1.309,00 €;150;;;;;;;
ACEPTADO;T OV-20256219;SI;;05/11/2025;DPV;MADRID;IMPLANTACION;ENEL GREEN POWER;ENDESA GENERACION;1 DIVULGACIÓN PEI CT CANDELARIA;CLIENTE ANTIGUO;;;400,00 €;0;HMR;;;;;;
ACEPTADO;T OV-20256149;SI;;05/11/2025;DPV;MADRID;AUTOPROTECCION;ENEL GREEN POWER;ENDESA GENERACIÓN;CAMBIOS POLICY ENDESA;CLIENTE ANTIGUO;;;2.730,00 €;0;DPV;;;;;;
