estado;num_gestiona;pertenece_a_licitacion;es_licitacion;fecha_oferta;agente_comercial;oficina;tipo_servicio;grupo;cliente;objeto;origen;comentarios;;presupuesto_total;gastos_estimados;tecnico_t1;fin_licitacion;ingresos_2026;ingresos_2027;ingresos_2028;ingresos_2029;ingresos_2030
ACEPTADO;T OV-20172400;SI;;16/10/2017;MAP;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL FENOSA RENOVABLES;REVISION PAU MH BELESAR;CLIENTE ANTIGUO;;;2.541,40 €;371;;;;;;;
ACEPTADO;T OV-20172401;SI;;16/10/2017;MAP;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL FENOSA RENOVABLES;REVISION PAU MH PEARES;CLIENTE ANTIGUO;;;2.541,40 €;371;;;;;;;
ACEPTADO;T OV-20172403;SI;;16/10/2017;MAP;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL FENOSA RENOVABLES;REVISION PAU PE MONTEJO;CLIENTE ANTIGUO;;;2.715,30 €;245;;;;;;;
RECHAZADO;T OV-20172404;NO;SI;16/10/2017;MAP;NAVARRA;LOTO;ENEL GREEN POWER;ENDESA GENERACION;SUMINISTRO LOTO;CLIENTE ANTIGUO;;;53,29 €;39;;;;;;;
RECHAZADO;T OV-20172405;NO;SI;16/10/2017;MAP;NAVARRA;LOTO;ENEL GREEN POWER;ENDESA GENERACION;SUMINISTRO LOTO;CLIENTE ANTIGUO;;;4.796,00 €;3946;;;;;;;
ACEPTADO;T OV-20172417;SI;;17/10/2017;IMR;MADRID;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL FENOSA GENERACION;CH9 BASE SAN JUAN Y CASTREJON;CLIENTE ANTIGUO;;;7.014,00 €;279;;;;;;;
ACEPTADO;T OV-20172418;SI;;17/10/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SDG;V47 EDIFICIO PORRIÑO;CLIENTE ANTIGUO;;;1.266,00 €;391;;;;;;;
ACEPTADO;T OV-20172419;SI;;17/10/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SDG;V48 O BARCO;CLIENTE ANTIGUO;;;1.193,00 €;318;;;;;;;
ACEPTADO;T OV-20172420;SI;;17/10/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SDG;V50 RODA;CLIENTE ANTIGUO;;;1.221,00 €;291;;;;;;;
ACEPTADO;T OV-20172421;SI;;17/10/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SDG;V51 VERD MESA;CLIENTE ANTIGUO;;;1.330,00 €;0;;;;;;;
ACEPTADO;T OV-20172422;SI;;17/10/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SDG;V52 MONTMELO;CLIENTE ANTIGUO;;;1.240,00 €;15;;;;;;;
ACEPTADO;T OV-20172423;SI;;17/10/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SDG;V53 PALAU DE MAR;CLIENTE ANTIGUO;;;1.245,00 €;125;;;;;;;
ACEPTADO;T OV-20172424;SI;;17/10/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SDG;V54 MONTIGALA;CLIENTE ANTIGUO;;;1.251,00 €;11;;;;;;;
ACEPTADO;T OV-20172425;SI;;17/10/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SDG;V55 FUDNACIO;CLIENTE ANTIGUO;;;1.365,00 €;125;;;;;;;
ACEPTADO;T OV-20172426;SI;;17/10/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SDG;V56 CAN AMETLLER;CLIENTE ANTIGUO;;;1.794,00 €;168;;;;;;;
ACEPTADO;T OV-20172441;NO;;17/10/2017;IMR;NAVARRA;ATEX;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS SDG;DPCEx GNL ROMERA BONILLA;CLIENTE ANTIGUO;;;1.350,00 €;0;;;;;;;
ACEPTADO;T OV-20172443;NO;;17/10/2017;IMR;NAVARRA;ATEX;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS SDG;DPCEx GNL ENZA ZADEN;CLIENTE ANTIGUO;;;1.350,00 €;0;;;;;;;
ACEPTADO;T OV-20172444;SI;;18/10/2017;IMR;MADRID;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SDG;V49 EDIFICIO ROQUETAS;CLIENTE ANTIGUO;;;1.613,00 €;493;;;;;;;
ACEPTADO;T OV-20172445;SI;;18/10/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL FENOSA GENERACION;CH10 BASE MORA DE LUNA;CLIENTE ANTIGUO;;;8.912,00 €;757;;;;;;;
ACEPTADO;T OV-20172449;SI;;18/10/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL FENOSA REDES DISTRIBUCION GAS;PAU MODELO NBA;CLIENTE ANTIGUO;;;975,00 €;0;;;;;;;
ACEPTADO;T OV-20172450;NO;;18/10/2017;IMR;NAVARRA;AUTOPROTECCION;SACYR;VALORIZA SERVICIOS MEDIOAMBIENTALES;DPCEx ECOPARQUE LA RIOJA;CLIENTE ANTIGUO;;;1.860,00 €;60;;;;;;;
RECHAZADO;T OV-20172451;NO;;18/10/2017;IMR;NAVARRA;ATEX;ACCIONA;ACCIONA AGUA;DESCLASIFICACION SALA CALDERAS EDAR ALCALA OESTE;CLIENTE ANTIGUO;;;1.800,00 €;255;;;;;;;
ACEPTADO;T OV-20172464;SI;;23/10/2017;IMR;MADRID;IMPLANTACION;GAS NATURAL FENOSA;UNION FENOSA DISTRIBUCION;IMPLANTACION SET ZAL PRAT;CLIENTE ANTIGUO;;;1.521,00 €;26;;;;;;;
ACEPTADO;T OV-20172483;SI;;23/10/2017;AAB;NAVARRA;IMPLANTACION;GAS NATURAL FENOSA;GAS GALICIA;IMP GNL LALIN Y SANXENXO;CLIENTE ANTIGUO;;;1.726,00 €;586;;;;;;;
ACEPTADO;T OV-20172484;SI;;23/10/2017;AAB;NAVARRA;IMPLANTACION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS SDG;IMP GNL HULA;CLIENTE ANTIGUO;;;1.397,00 €;649;;;;;;;
ACEPTADO;T OV-20172486;NO;;23/10/2017;AAB;NAVARRA;AUTOPROTECCION;HEINZ;HEINZ MANUFACTURING SPAIN;REV E IMPLANTACION PAU;CLIENTE ANTIGUO;;;4.475,00 €;200;;;;;;;
ACEPTADO;T OV-20172488;NO;;23/10/2017;AAB;NAVARRA;CSTMP;JUMISA;JUMISA;CS JUAREZ Y MILLAS VALDIVIA;CLIENTE NUEVO;;;800,00 €;125;;;;;;;
ACEPTADO;T OV-20172489;NO;;23/10/2017;AAB;NAVARRA;CSTMP;TABICESA;TABICESA;CS TABICESA VALDIVIA;CLIENTE NUEVO;;;800,00 €;125;;;;;;;
ACEPTADO;T OV-20172508;NO;;24/10/2017;MAP;NAVARRA;LOTO;REITEC;REITEC;SUMINISTRO LOTO;CLIENTE ANTIGUO;;;285,65 €;187;;;;;;;
ACEPTADO;T OV-20172517;SI;;25/10/2017;APG;MADRID;AUTOPROTECCION;GAS NATURAL FENOSA;UNION FENOSA DISTRIBUCION;PA SET VILLASEQUILLA;CLIENTE ANTIGUO;;;1.383,00 €;68;;;;;;;
ACEPTADO;T OV-20172550;SI;;30/10/2017;APG;MADRID;AUTOPROTECCION;GAS NATURAL FENOSA;UNION FENOSA DISTRIBUCION;PA SET DESARROLLO ALCOHETE;CLIENTE ANTIGUO;;;1.446,00 €;26;;;;;;;
ACEPTADO;T OV-20172551;SI;;30/10/2017;APG;MADRID;AUTOPROTECCION;GAS NATURAL FENOSA;UNION FENOSA DISTRIBUCION;PA SET DESARROLLO ALMOGUERA;CLIENTE ANTIGUO;;;1.466,00 €;46;;;;;;;
ACEPTADO;T OV-20172552;SI;;30/10/2017;APG;MADRID;AUTOPROTECCION;GAS NATURAL FENOSA;UNION FENOSA DISTRIBUCION;PA SET DESARROLLO MERA;CLIENTE ANTIGUO;;;1.631,00 €;211;;;;;;;
ACEPTADO;T OV-20172553;SI;;30/10/2017;APG;MADRID;AUTOPROTECCION;GAS NATURAL FENOSA;UNION FENOSA DISTRIBUCION;PA SET DESARROLLO DO VILAN;CLIENTE ANTIGUO;;;1.631,00 €;211;;;;;;;
ACEPTADO;T OV-20172554;SI;;30/10/2017;APG;MADRID;AUTOPROTECCION;GAS NATURAL FENOSA;UNION FENOSA DISTRIBUCION;PA SET DESARROLLO BARRO;CLIENTE ANTIGUO;;;2.061,00 €;211;;;;;;;
ACEPTADO;T OV-20172555;SI;;30/10/2017;APG;MADRID;AUTOPROTECCION;GAS NATURAL FENOSA;UNION FENOSA DISTRIBUCION;PA SET DESARROLLO ZONA FRANCA;CLIENTE ANTIGUO;;;2.061,00 €;211;;;;;;;
ACEPTADO;T OV-20172559;SI;;30/10/2017;APG;MADRID;AUTOPROTECCION;GAS NATURAL FENOSA;UNION FENOSA DISTRIBUCION;UFD15 SSEE OURENSE LUGO;CLIENTE ANTIGUO;;;12.865,00 €;985;;;;;;;
ACEPTADO;T OV-20172563;NO;;30/10/2017;IMR;NAVARRA;SEVESO;REINS;REINS;RD840 CALCULO CONSECUENCIAS GNL MAHON;CLIENTE ANTIGUO;;;2.200,00 €;0;;;;;;;
ACEPTADO;T OV-20172572;NO;;31/10/2017;IMR;NAVARRA;SEVESO;GOBIERNO DE NAVARRA;AGENCIA NAVARRA DE EMERGENCIAS;APOYO RD840 AGENCIA NAVARRA EMERGENCIAS;CLIENTE ANTIGUO;;;5.975,00 €;0;;;;;;;
ACEPTADO;T OV-20172573;SI;;31/10/2017;IMR;NAVARRA;IMPLANTACION;ENDESA;ENDESA GENERACION;SESIONES DIVULGACION PAU CT GRANADILLA;CLIENTE ANTIGUO;;;2.004,00 €;892;;;;;;;
ACEPTADO;T OV-20172575;SI;;31/10/2017;APG;MADRID;AUTOPROTECCION;GAS NATURAL FENOSA;UNION FENOSA DISTRIBUCION;PA SET VILLARUBIA DE LOS OJOS;CLIENTE ANTIGUO;;;1.537,00 €;117;;;;;;;
RECHAZADO;T OV-20172579;NO;SI;02/11/2017;IMR;NAVARRA;CSTMP;NATURGY;GAS NATURAL FENOSA GENERACION;CS GNF GENERACION 2017;CLIENTE ANTIGUO;RECHAZADO POR PRECIO;;41.750,00 €;8872;;;;;;;
ACEPTADO;T OV-20172599;NO;;06/11/2017;IMR;MADRID;RIESGOS;GRAFTECH ;GRAFTECH IBERICA;AMPLIACION SESION HAZOP;CLIENTE ANTIGUO;;;1.871,00 €;416;;;;;;;
ACEPTADO;T OV-20172629;NO;;07/11/2017;IMR;NAVARRA;ATEX;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS SDG;DPCEx ROTOSOL;CLIENTE ANTIGUO;;;1.350,00 €;0;;;;;;;
ACEPTADO;T OV-20172630;NO;;07/11/2017;IMR;NAVARRA;ATEX;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS SDG;DPCEx RELESA;CLIENTE ANTIGUO;;;1.350,00 €;0;;;;;;;
ACEPTADO;T OV-20172477;SI;;07/11/2017;IMR;NAVARRA;AUTOPROTECCION;EXUS;XUNQUEIRA EOLICA, S.L.;PA PE XUNQUEIRA;CLIENTE ANTIGUO;;;1.825,00 €;0;;;;;;;
ACEPTADO;T OV-20172478;SI;;07/11/2017;IMR;NAVARRA;AUTOPROTECCION;EXUS;VITIGUDINA FV;PA FV VITIGUDINA;CLIENTE ANTIGUO;;;1.825,00 €;0;;;;;;;
ACEPTADO;T OV-20172639_A;NO;;07/11/2017;IMR;NAVARRA;ATEX;SAPA GROUP;SAPA GROUP;DPCEx SAPA BUILDING SYSTEMS;CLIENTE NUEVO;;;1.950,00 €;85;;;;;;;
RECHAZADO;T OV-20172640;NO;;07/11/2017;IMR;NAVARRA;ATEX;GRUPO SACYR;VALORIZA AGUA;DPCEx EDAR ARROYO QUIÑONES;CLIENTE NUEVO;;;1.950,00 €;250;;;;;;;
ACEPTADO;T OV-20172669;NO;;09/11/2017;IMR;NAVARRA;ATEX;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS SDG;JUSTIFICACION RD919 GASDROID;CLIENTE ANTIGUO;;;1.250,00 €;0;;;;;;;
ACEPTADO;T OV-20172692;SI;;10/11/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL FENOSA GENERACION;CH11 BASE PORTODEMOUROS;CLIENTE ANTIGUO;;;6.674,00 €;819;;;;;;;
ACEPTADO;T OV-20172698;SI;;13/11/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SDG;V58 EDIFICIO TINTES;CLIENTE ANTIGUO;;;1.126,00 €;251;;;;;;;
ACEPTADO;T OV-20172699;SI;;13/11/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SDG;V59 EDIFICIO CULLEREDO;CLIENTE ANTIGUO;;;1.083,00 €;153;;;;;;;
ACEPTADO;T OV-20172700;SI;;13/11/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SDG;V60 EDIFICIO CONSTIRUCION;CLIENTE ANTIGUO;;;899,00 €;24;;;;;;;
ACEPTADO;T OV-20172701;SI;;13/11/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SDG;V61 EDIFICIO LISBOA;CLIENTE ANTIGUO;;;1.077,00 €;147;;;;;;;
ACEPTADO;T OV-20172704;SI;;13/11/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SDG;V62 EDIFICIO ARTEIXO MUSEO;CLIENTE ANTIGUO;;;2.230,00 €;125;;;;;;;
ACEPTADO;T OV-20172705_a;SI;;13/11/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SDG;V63 EDIFICIO ARTEIXO OFICINAS;CLIENTE ANTIGUO;;;4.116,00 €;361;;;;;;;
ACEPTADO;T OV-20172707;SI;;13/11/2017;IMR;NAVARRA;SEVESO;ENDESA;ENDESA GENERACION;RD840 CD SALINAS;CLIENTE ANTIGUO;;;5.369,00 €;950;;;;;;;
ACEPTADO;T OV-20172310;NO;;04/10/2017;MAP;NAVARRA;LOTO;MAGNESITAS DE NAVARRA;MAGNESITAS DE NAVARRA;SUMINISTRO LOTO;CLIENTE ANTIGUO;;;1.014,67 €;609;;;;;;;
ACEPTADO;T OV-20172736;NO;;15/11/2017;MAP;NAVARRA;LOTO;SAICA PACK;SAICA PACK VIANA;SUMINISTRO LOTO;CLIENTE ANTIGUO;;;264,24 €;171;;;;;;;
ACEPTADO;T OV-20172740;SI;;16/11/2017;AAB;NAVARRA;SEVESO;GAS NATURAL FENOSA;GAS GALICIA;RD840 5 GLP GALICIA;CLIENTE ANTIGUO;;;16.707,00 €;807;;;;;;;
ACEPTADO;T OV-20172762;SI;;17/11/2017;AAB;NAVARRA;IMPLANTACION;GAS NATURAL FENOSA;GAS NATURAL CEGAS;IMPL GNL POLOP;CLIENTE ANTIGUO;;;1.460,00 €;536;;;;;;;
ACEPTADO;T OV-20172764;SI;;20/11/2017;IMR;MADRID;AUTOPROTECCION;GAS NATURAL FENOSA;UNION FENOSA DISTRIBUCION;PA SET ARCICOLLAR;CLIENTE ANTIGUO;;;1.488,00 €;68;;;;;;;
ACEPTADO;T OV-20172771;SI;;21/11/2017;IMR;MADRID;IMPLANTACION;GAS NATURAL FENOSA;UNION FENOSA DISTRIBUCION;IMP SSEE MADRID 1;CLIENTE ANTIGUO;;;1.254,00 €;44;;;;;;;
ACEPTADO;T OV-20172785;SI;;21/11/2017;IMR;NAVARRA;SEVESO;ENDESA;ENDESA GENERACION;840 CT JINAMAR;CLIENTE ANTIGUO;;;5.369,00 €;950;;;;;;;
ACEPTADO;T OV-20172812;SI;;24/11/2017;IMR;NAVARRA;IMPLANTACION;ENDESA;ENDESA GENERACION;IMPLANTACION CT ALMERIA;CLIENTE ANTIGUO;;;1.835,00 €;800;;;;;;;
ACEPTADO;T OV-20172814;SI;;24/11/2017;IMR;MADRID;IMPLANTACION;GAS NATURAL FENOSA;UNION FENOSA DISTRIBUCION;IMPLANTACION SSEE CORUÑA;CLIENTE ANTIGUO;;;1.712,00 €;502;;;;;;;
ACEPTADO;T OV-20172815;SI;;24/11/2017;IMR;MADRID;IMPLANTACION;GAS NATURAL FENOSA;UNION FENOSA DISTRIBUCION;IMPLANTACION SSEE LEON;CLIENTE ANTIGUO;;;1.712,00 €;502;;;;;;;
ACEPTADO;T OV-20172816;SI;;24/11/2017;IMR;MADRID;IMPLANTACION;GAS NATURAL FENOSA;GAS NATURAL FENOSA GENERACION;REGISTRO MADRID CH;CLIENTE ANTIGUO;;;960,00 €;0;;;;;;;
ACEPTADO;T OV-20172817;SI;;24/11/2017;IMR;MADRID;IMPLANTACION;GAS NATURAL FENOSA;UNION FENOSA DISTRIBUCION;REGISTRO MADRID SET;CLIENTE ANTIGUO;;;7.360,00 €;0;;;;;;;
RECHAZADO;T OV-20172821;NO;;24/11/2017;IMR;NAVARRA;ATEX;GRUPO COGES;ADITEK TRATAMIENTOS TERMICOS;DPCEx ADITEK CESTONA;CLIENTE NUEVO;;;2.271,00 €;75;;;;;;;
ACEPTADO;T OV-20172212-A;NO;;27/11/2017;MAP;NAVARRA;LOTO;ELECTRICIDAD ADELL;ELECTRICIDAD ADELLE;SUMINISTRO LOTO;CLIENTE NUEVO;;;3.020,40 €;1812;;;;;;;
ACEPTADO;T OV-20172593;NO;;03/11/2017;MAP;MADRID;LOTO;DANA;DANA SPICER AYRA-CARDAN;SUMINISTRO LOTO;CLIENTE ANTIGUO;;;280,67 €;168;;;;;;;
ACEPTADO;T OV-20172781_A;SI;;30/11/2017;IMR;MADRID;IMPLANTACION;GAS NATURAL FENOSA;UNION FENOSA DISTRIBUCION;IMP SSEE MADRID 2;CLIENTE ANTIGUO;;;1.477,00 €;62;;;;;;;
ACEPTADO;T OV-20172869;SI;;30/11/2017;IMR;NAVARRA;IMPLANTACION;GAS NATURAL FENOSA;GAS NATURAL SDG;REG PAU EDIFICIOS MADRID;CLIENTE ANTIGUO;;;960,00 €;0;;;;;;;
ACEPTADO;T OV-20172873;SI;;30/11/2017;IMR;NAVARRA;SEVESO;ENDESA;ENDESA GENERACION;REV PG17 SGSST ENDESA GENERACION;CLIENTE ANTIGUO;;;625,00 €;0;;;;;;;
ACEPTADO;T OV-20172886;SI;;01/12/2017;IMR;NAVARRA;AUTOPROTECCION;ENDESA;ENDESA GENERACION;REV NBA CD EL PALMAR GOMERA;CLIENTE ANTIGUO;;;4.567,00 €;950;;;;;;;
ACEPTADO;T OV-20172887;SI;;01/12/2017;IMR;NAVARRA;SEVESO;ENDESA;ENDESA GENERACION;840 CT CANDELARIA;CLIENTE ANTIGUO;;;5.369,00 €;950;;;;;;;
ACEPTADO;T OV-20172888;SI;;01/12/2017;IMR;NAVARRA;AUTOPROTECCION;ENDESA;ENDESA GENERACION;REV NBA CENTRAL ARONA;CLIENTE ANTIGUO;;;4.567,00 €;950;;;;;;;
ACEPTADO;T OV-20172889;SI;;01/12/2017;IMR;NAVARRA;AUTOPROTECCION;ENDESA;ENDESA GENERACION;REV NBA CENTRAL GUIA DE ISORA;CLIENTE ANTIGUO;;;4.567,00 €;950;;;;;;;
ACEPTADO;T OV-20172885;NO;;04/12/2017;MAP;NAVARRA;LOTO;FERRO;FERRO PIGMENTS COMPANY;AUDITORIA Y FORMACION LOTO;CLIENTE ANTIGUO;;;5.254,00 €;716;;;;;;;
ACEPTADO;T OV-20172902;SI;;07/12/2017;IMR;MADRID;IMPLANTACION;GAS NATURAL FENOSA;UNION FENOSA DISTRIBUCION;IMPLANTACION SSEE CIUDAD REAL;CLIENTE ANTIGUO;;;1.471,00 €;261;;;;;;;
RECHAZADO;T OV-20172908;NO;;07/12/2017;IMR;NAVARRA;AUTOPROTECCION;GRUPO VILLAR MIR;VILLAR MIR ENERGIA;PAU PE HUESCA;CLIENTE NUEVO;;;3.350,00 €;300;;;;;;;
RECHAZADO;T OV-20172909;NO;;07/12/2017;IMR;NAVARRA;ATEX;GAS NATURAL FENOSA;GAS NATURAL FENOSA GENERACION;DPCEx CCC PLANA DE VENT;CLIENTE ANTIGUO;;;3.575,00 €;316;;;;;;;
ACEPTADO;T OV-20172911;NO;;11/12/2017;IMR;NAVARRA;AUTOPROTECCION;GOBIERNO DE NAVARRA;OSASUNBIDEA;PA OSASUNBIDEA 2018;CLIENTE ANTIGUO;;;5.000,00 €;60;;;;;;;
ACEPTADO;T OV-20172933;SI;;13/12/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SDG;V64 EDIFICIO BURGOS;CLIENTE ANTIGUO;;;1.073,00 €;143;;;;;;;
ACEPTADO;T OV-20172935;SI;;13/12/2017;IMR;NAVARRA;IMPLANTACION;GAS NATURAL FENOSA;UNION FENOSA DISTRIBUCION;IMP UFD SSEE PONTEVEDRA;CLIENTE ANTIGUO;;;1.544,00 €;334;;;;;;;
ACEPTADO;T OV-20172936;SI;;13/12/2017;IMR;NAVARRA;IMPLANTACION;GAS NATURAL FENOSA;UNION FENOSA DISTRIBUCION;IMP UFD SSEE OURENSE LUGO;CLIENTE ANTIGUO;;;1.544,00 €;334;;;;;;;
ACEPTADO;T OV-20172901;NO;;13/12/2017;IMR;MADRID;RIESGOS;ESINDUS;ESINDUS;HAZOP ESINDUS;CLIENTE NUEVO;;;2.980,00 €;60;;;;;;;
RECHAZADO;T OV-20172943;SI;;13/12/2017;MAP;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL FENOSA RENOVABLES;REVISION PAU MH PEARES II;CLIENTE ANTIGUO;Ya habia prevision de gasto;;2.490,50 €;335;;;;;;;
RECHAZADO;T OV-20172944;SI;;13/12/2017;MAP;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL FENOSA  RENOVABLES;REVISION PAU MH BELESAR II;CLIENTE ANTIGUO;Ya habia prevision de gasto;;2.369,50 €;435;;;;;;;
ACEPTADO;T OV-20172945;SI;;13/12/2017;MAP;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL FENOSA RENOVABLES;REVISION PAU PE MONTERREDONDO;CLIENTE ANTIGUO;;;3.089,40 €;309;;;;;;;
ACEPTADO;T OV-20172946;SI;;13/12/2017;MAP;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA ;GAS NATURAL FENOSA RENOVABLES ;REBVISION PAU PE NOVO;CLIENTE ANTIGUO;;;2.899,40 €;309;;;;;;;
ACEPTADO;T OV-20172947;SI;;13/12/2017;MAP;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL FENOSA RENOVABLES;REVISION  PAU PE COTO CODESAS I y II;CLIENTE ANTIGUO;;;3.038,40 €;408;;;;;;;
RECHAZADO;T OV-20172948;NO;;14/12/2017;IMR;MADRID;RIESGOS;INITEC ENERGIA;INTECSA INDUSTRIAL;HAZOP INTECSA INDSUTRIAL CCC JORF LASFAR;CLIENTE NUEVO;;;7.386,00 €;336;;;;;;;
RECHAZADO;T OV-20172949;NO;;14/12/2017;IMR;NAVARRA;ATEX;IMQ PREVENCION;PANIFICADORA GORBEA;DPCEx IMQ PANIFICADORA GORBEA;IMQ;;;1.750,00 €;100;;;;;;;
ACEPTADO;T OV-20172957-A;NO;;18/12/2017;MAP;NAVARRA;LOTO;CORFRI;CORFREEWIND;SUMINISTRO LOTO;CLIENTE NUEVO;Error en el pedido. 40 candados pasan al inventario;;755,10 €;906;;;;;;;
ACEPTADO;T OV-20172960;NO;;18/12/2017;MAP;NAVARRA;LOTO;JOHN DEERE;JOHN DEERE;AUDITORIA LOTO;CLIENTE ANTIGUO;;;2.875,00 €;453;;;;;;;
ACEPTADO;T OV-20172963;NO;;18/12/2017;MAP;NAVARRA;LOTO;JOHN DEERE;JOHN DEERE;AMPLIACION LOTO TRATAMIENTO TERMICO;CLIENTE ANTIGUO;;;3.806,00 €;1286;;;;;;;
ACEPTADO;T OV-20172966;NO;;18/12/2017;MAP;NAVARRA;LOTO;JOHN DEERE;JOHN DEERE;AMPLIACION LOTO PINTURA;CLIENTE ANTIGUO;;;4.166,00 €;1286;;;;;;;
ACEPTADO;T OV-20172967;NO;;18/12/2017;MAP;NAVARRA;LOTO;JOHN DEERE;JOHN DEERE;LOTO MECANIZADO;CLIENTE ANTIGUO;;;3.098,00 €;578;;;;;;;
RECHAZADO;T OV-20172982;NO;;20/12/2017;IMR;MADRID;RIESGOS;TSK;TSK;HAZOP CCPP RENAISSANCE;CLIENTE NUEVO;;;7.820,00 €;1220;;;;;;;
ACEPTADO;T OV-20172987;NO;;20/12/2017;IMR;NAVARRA;ATEX;ACCIONA ;RUSTICAS VEGAS ALTAS;CURSOS PEI + ATEX;CLIENTE ANTIGUO;;;2.463,00 €;480;;;;;;;
ACEPTADO;T OV-20172996;SI;;21/12/2017;AAB;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;PAU MESSA Y REV PAU GNL MITJAVILA;CLIENTE ANTIGUO;;;3.290,00 €;495;;;;;;;
ACEPTADO;T OV-20172997;NO;;21/12/2017;AAB;NAVARRA;ATEX;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;DPCEx GNL ALLINTEX;CLIENTE ANTIGUO;;;1.350,00 €;0;;;;;;;
ACEPTADO;T OV-20173018_A;SI;;22/12/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SDG;V69 GRAN VIA BILBAO;CLIENTE ANTIGUO;;;983,00 €;108;;;;;;;
ACEPTADO;T OV-20173019;SI;;22/12/2017;IMR;NAVARRA;AUTOPROTECCION;GAS NATURAL FENOSA;GAS NATURAL SDG;V71  PALAZUELOS SEGOVIA;CLIENTE ANTIGUO;;;1.489,00 €;359;;;;;;;
ACEPTADO;T OV-20172837;NO;;22/12/2017;MAP;NAVARRA;APQ;ACCIONA ;RUSTICAS VEGAS ALTAS;ANEXOS PROYECTO APQ TS ORELLANA;CLIENTE ANTIGUO;;;4.190,00 €;450;;;;;;;
ACEPTADO;T OV-20173028;NO;;28/12/2017;MAP;NAVARRA;LOTO;TEKNO SERVICE;TEKNO SERVICE;SUMNISTRO LOTO;CLIENTE ANTIGUO;;;160,50 €;110;;;;;;;
RECHAZADO;T OV-20180056;SI;;08/01/2018;AAB;NAVARRA;SEVESO;GAS NATURAL FENOSA;GAS NATURAL SERVICIOS;NOT Y REG 840 MATADERO NAVAZO;CLIENTE ANTIGUO;Servicios incluidos en TOV20180463;;910,00 €;0;;;;;;;
ACEPTADO;T OV-20180116_A;SI;;11/01/2018;AAB;NAVARRA;IMPLANTACION;GAS NATURAL FENOSA;NEDGIA CASTILLA-LA MANCHA;AUTOPR 2018 SSTT CLM - 1;CLIENTE ANTIGUO;;;7.600,00 €;1210;;;;;;;
ACEPTADO;T OV-20180121;NO;;12/01/2018;IMR;MADRID;RIESGOS;TEDAGUA;TEDAGUA;REVISION HAZOP TUAS3;CLIENTE NUEVO;;;800,00 €;0;;;;;;;
