Nº trabajo;OFERTA GESTIONA;EXP GESTIONA;TIPO EXP.;FECHA INICIO;FECHA ENTREGA;TECNICO RBLE;T1;SERVICIO ;TIPO SERVICIO;GRUPO;ICA;PPTO. TOTAL (SIN IVA);GASTOS (EST.);HORAS PRESUP (HP);HORAS 2025;HORAS RESTANTES;TOTAL H (2024 + 2025);% HR/HP  AÑO;Tomás;Jokin;Cristian;Belén;Raúl;Ánder;Bryan;Maddie;Iñaki;Javier;M. Ángel;Paula;Pilar;David;J. Antonio;Elena;Laura;Hacomar;T2;T3;PEDIDO;FECHA FINALIZACIÓN;VB CLIE. ;FECHA FACTURACION;Columna1;Nº Fact;;;;
3010;T OV-20260281;T26-SIN-08-0585;ANUAL;ene-26;dic-26;AEL;AEL;CSTMP KNORR BREMSE;CSTMP;KNORR BREMSE;KNORR BREMSE;1.240,00 €;0,00 €;20,67;0;18,17;2,5;12,1;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3011;T OV-20260274;T18-SIN-08-0585;ANUAL;ene-26;dic-26;AEL;AEL;CSTMP ICER BRAKES;CSTMP;ICER BRAKES;ICER BRAKES;985,00 €;0,00 €;16,42;0;15,92;0,5;3,05;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3012;T OV-20260405;T26-SIN-08-0587;ANUAL;ene-26;dic-26;AEL;AEL;CSTMP MAGNESITAS RUBIAN;CSTMP;MAGNESITAS RUBIAN;MAGNESITAS RUBIAN;2.040,00 €;370,00 €;27,83;0;26,33;1,5;5,39;0;0;0;0;0;1,5;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3013;T OV-20260275;T26-SIN-08-0588;ANUAL;ene-26;dic-26;AEL;CPV;CSTMP MRG GNL FIJO ANUAL;CSTMP;MADRILEÑA RED GAS;MADRILEÑA RED GAS;2.755,00 €;0,00 €;45,92;0;43,42;2,5;5,44;0;0;0;0;0;2,5;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3014;T OV-20260279;T26-SIN-08-0588;ANUAL;ene-26;dic-26;AEL;CPV;CSTMP MRG GLP FIJO ANUAL;CSTMP;MADRILEÑA RED GAS;MADRILEÑA RED GAS;2.755,00 €;0,00 €;45,92;0;39,92;6;13,07;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3015;T OV-20260542;T16-SIN-08-0716;ANUAL;ene-26;ene-26;AEL;PRW;CSTMP TID;CSTMP;TID;TID;900,00 €;0,00 €;15;0;13,25;1,75;11,67;0;0;0;0;0;0;0;0;0;0;0;0;1,75;0;0;0;0;0;;;;;NO;;;;;;;
3016;T OV-20211773;T15-SIN-08-0738;ANUAL;ene-25;dic-25;BLO;BLO;CS NATURGY IBERIA. Factura fija anual - Metida en las diferentes certificaciones realizadas;CSTMP;NATURGY;NATURGY IBERIA;4.296,58 €;0,00 €;71,61;0;63,86;7,75;10,82;0;0;0;0;0;0;4,25;0;0;0;0;0;3,5;0;0;0;0;0;PRW;;;;NO;;;;;;;
3017;T OV-20150883;T15-SIN-08-0738;ANUAL;ene-25;dic-25;BLO;BLO;CS NEDGIA. Fija anual GNL - Metida en las diferentes certificaciones realizadas;CSTMP;GAS NATURAL FENOSA;GAS NATURAL FENOSA;3.500,10 €;0,00 €;58,34;0;40,59;17,75;30,43;0;0;0;0;0;0;3,25;1,5;0;0;0;0;13;0;0;0;0;0;PRW;;;;NO;;;;;;;
3018;T OV-20150883;T15-SIN-08-0738;ANUAL;ene-25;dic-25;BLO;BLO;CS NEDGIA. Fija anual GLP- Metida en las diferentes certificaciones realizadas;CSTMP;GAS NATURAL FENOSA;GAS NATURAL FENOSA;6.751,75 €;0,00 €;112,53;0;74,03;38,5;34,21;0;0;0;0;0;0;10;0;0;0;0;0;28,5;0;0;0;0;0;PRW;;;;NO;;;;;;;
3019;T OV-20260394;T18-SIN-08-1465;ANUAL;ene-26;mar-26;AEL;BLO;CSTMP REGANOSA 1T 2026;CSTMP;REGANOSA;REGANOSA;792,50 €;125,00 €;11,13;0;5,13;6;53,93;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3020;T OV-20260397;T18-SIN-08-1532;ANUAL;ene-26;jul-26;AEL;BLO;CSTMP BBG (enero-julio);CSTMP;BBG;BBG;2.658,25 €;842,00 €;30,27;0;25,77;4,5;14,87;0;0;0;0;0;2,5;2;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3021;T OV-20260398;T18-SIN-08-2083;ANUAL;ene-26;dic-26;AEL;AEL;CSTMP IMQ ARGYSAN;CSTMP;IMQ PREVENCION;ARGYSAN;1.194,00 €;60,00 €;18,9;0;15,9;3;15,87;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
3022;T OV-20260367;T19-SIN-08-1321;ANUAL;ene-26;dic-26;AEL;PRW;CSTMP SOFIDEL;CSTMP;SOFIDEL;SOFIDEL;1.522,00 €;90,00 €;23,87;0;11,62;12,25;51,33;0;0;0;0;0;0;0;0;0;0;0;0;12,25;0;0;0;0;0;;;;;NO;;;;;;;
3023;T OV-20260311;T19-SIN-08-1502;ANUAL;ene-26;dic-26;AEL;PRW;CSTMP HEINZ;CSTMP;HEINZ MANUFACTURING;HEINZ MANUFACTURING;1.400,00 €;70,00 €;22,17;0;12,42;9,75;43,98;0;0;0;0;0;0;0;0;0;0;0;0;9,75;0;0;0;0;0;;;;;NO;;;;;;;
3024;T OV-20260543;T20-SIN-08-0063;ANUAL;ene-26;ene-26;AEL;BRL;CSTMP AMCOR LEZO;CSTMP;AMCOR;AMCOR LEZO;1.225,00 €;50,00 €;19,58;0;19,58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;NO;;;;;;;
